,Live Spectrum 10-11-2023 10:13:32 - Spikes removed,Live Spectrum 10-11-2023 10:13:34 - Spikes removed,Live Spectrum 10-11-2023 10:13:35 - Spikes removed,Live Spectrum 10-11-2023 10:13:38 - Spikes removed,Live Spectrum 10-11-2023 10:13:38 - Spikes removed,Live Spectrum 10-11-2023 10:13:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,
448.5030,17.856167,17.412553,17.506152,17.462523,17.181273,17.83122,
448.7845,17.998441,17.230003,17.775623,17.393438,17.176247,17.637204,
449.0661,17.893123,17.221886,17.865009,17.453763,17.34189,17.118728,
449.3477,17.834684,17.366255,17.964378,17.67001,17.482189,16.991255,
449.6292,17.767503,17.533726,17.95876,17.8125,17.513747,17.117487,
449.9108,17.623544,17.824858,17.878149,17.798449,17.573402,17.173449,
450.1924,17.526154,17.485914,17.657188,17.609039,17.366683,17.256707,
450.4739,17.520513,16.975577,17.583974,17.538077,17.077147,17.448237,
450.7555,17.42256,17.274402,17.76494,17.777141,17.06387,17.381848,
451.0370,17.589,17.528875,17.78125,17.829313,17.244458,17.036,
451.3186,17.78125,17.749115,17.719192,17.703678,17.654923,16.905808,
451.6002,17.797046,17.859204,17.751025,17.419654,17.701587,17.189892,
451.8817,17.619617,17.683014,17.683014,17.138382,17.112439,17.293735,
452.1633,17.339414,17.547598,17.269688,17.013457,16.474981,16.90959,
452.4448,17.33309,17.595736,17.214047,17.168165,16.065217,17.021844,
452.7264,17.271174,17.574346,17.408769,17.242443,16.178921,17.326865,
453.0080,17.104808,17.651282,17.523237,17.207692,16.883332,17.261058,
453.2895,17.0625,17.80222,17.680783,17.389253,17.232593,17.114311,
453.5711,17.080162,18.002709,17.944283,17.605972,17.360046,16.995926,
453.8527,17.129578,18.071258,18.254975,17.526275,17.253784,17.094147,
454.1342,17.356032,17.831468,18.302352,17.369926,17.057426,17.514416,
454.4158,17.75769,17.577061,18.121155,17.619847,17.123282,17.915658,
454.6973,17.956147,17.910239,17.882072,18.036267,17.131558,17.751542,
454.9789,17.798791,17.998656,17.837903,18.111963,17.169287,17.354772,
455.2605,17.458086,17.511761,17.970589,17.947793,17.333457,17.142279,
455.5420,17.331848,17.165164,17.992555,17.797609,17.444945,17.132445,
455.8236,17.480767,17.035028,17.753437,17.573835,17.410028,17.058381,
456.1051,17.720872,17.277151,17.486425,17.429157,17.434389,17.039593,
456.3867,17.792485,17.397469,17.546358,17.106019,17.108472,17.022469,
456.6683,17.720558,17.354769,17.726154,16.816115,16.987173,17,
456.9498,17.155995,17.384635,17.679037,16.91354,17.010807,16.693362,
457.2314,17.18476,17.40625,17.914109,17.123904,16.896747,16.655154,
457.5130,17.635723,17.468816,18.291907,17.396052,16.739474,16.969012,
457.7945,17.886531,17.394719,18.364138,17.668449,16.771725,17.09375,
458.0761,17.809979,17.279989,18.301243,18.005042,16.940021,17.327539,
458.3576,17.75,17.335789,18.238355,17.996316,17.235921,17.523289,
458.6392,17.923101,17.504826,17.915824,17.764399,17.473576,17.64905,
