,Live Spectrum 10-11-2023 10:11:28 - Spikes removed,Live Spectrum 10-11-2023 10:11:31 - Spikes removed,Live Spectrum 10-11-2023 10:11:32 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:33 - Spikes removed,Live Spectrum 10-11-2023 10:11:34 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:35 - Spikes removed,Live Spectrum 10-11-2023 10:11:36 - Spikes removed,Live Spectrum 10-11-2023 10:11:39 - Spikes removed,
Wavelength [nm],Intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,intensity,
411.0553,25.375097,24.562581,25.459882,25.017899,24.790264,24.933082,25.125032,25.125032,25.607198,25.598233,
411.3369,24.744649,24.572319,25.122325,24.771431,24.541966,24.317865,24.896431,24.896431,25.306253,25.368753,
411.6184,23.859027,24.308069,24.322413,24.150071,24.131297,23.792911,24.275071,24.275071,24.538481,24.715253,
411.9000,23.987422,23.957266,24.338359,23.858125,23.740313,23.956172,24.130391,24.130391,24.557109,24.302813,
412.1816,23.514667,23.543167,23.646084,23.66175,24.082749,23.756417,23.912667,23.912667,23.834501,23.613918,
412.4631,23.312748,23.500041,23.687417,23.531415,24.593088,23.531539,23.718998,23.718998,23.750083,23.468915,
412.7447,23.936671,22.931697,23.139669,23.504145,23.305038,23.280421,23.118547,23.192005,23.661224,23.0625,
413.0262,23.863884,22.715361,22.522777,23.659639,23.015998,23.22458,22.45479,22.50016,23.820025,23.048943,
413.3078,23.094335,22.658805,22.426109,23.728972,22.757666,22.834914,22.241749,22.241749,23.383251,22.830388,
413.5894,22.620367,22.673854,22.935183,23.724351,22.806225,23.328335,22.462475,22.462475,23.029481,23.003959,
413.8709,21.54545,22.536924,22.325261,22.707374,22.423273,22.330935,22.15625,22.15625,22.224424,22.772725,
414.1525,21.422173,22.226839,21.751192,22.294448,21.865974,21.574506,22.084724,22.084724,22.088045,22.585916,
414.4341,21.385404,21.403293,21.538661,21.520846,21.523802,21.132448,21.694948,21.694948,22.296108,21.834843,
414.7156,21.514988,21.131787,21.866938,21.194426,21.720025,21.038037,21.464788,21.464788,22.496038,21.578762,
414.9972,21.298033,21.171489,21.469522,20.64863,21.955826,21.085359,20.969522,20.969522,22.03887,21.666185,
415.2787,21.147803,21.134281,21.239849,20.591212,21.363145,21.063334,20.900341,20.900341,21.885115,21.279546,
415.5603,21.152809,20.952598,20.856461,20.5,20.554285,20.673457,21.117062,21.117062,21.322824,20.918961,
415.8419,21.037177,20.880927,20.731801,20.54035,20.181364,20.273138,21.357789,21.357789,20.85264,20.804388,
416.1234,20.732554,20.543602,20.573401,20.712204,19.960753,20.299409,20.983293,20.983293,20.28125,20.732554,
416.4050,20.64082,20.50791,20.558623,20.945254,20.109336,20.531328,20.519697,20.519697,20.175869,20.804746,
416.6865,20.300051,20.237424,20.5,21.100038,20.1875,20.249873,20.32514,20.32514,20.112614,20.750064,
416.9681,20.321753,20.218182,20.699676,21.103003,20.373864,20.049188,20.637744,20.637744,20.507549,20.76388,
417.2497,20.292318,20.400174,20.785371,20.876083,20.540364,20.045356,20.879992,20.879992,20.671439,20.486977,
417.5312,20.254376,20.36448,20.279482,20.47896,20.139586,19.95823,20.731877,20.731877,20.18719,20.236563,
417.8128,19.936721,20.25,19.921708,20.077513,19.671374,19.875111,20.327735,20.327735,19.984876,20.391349,
418.0944,19.422453,20.167695,19.875,19.74164,19.778165,19.758101,19.922453,19.922453,20.322532,20.676055,
418.3759,19.15625,20.09375,20.012893,19.59375,20.344732,19.693946,19.414937,19.414937,20.586183,20.543161,
418.6575,19.138242,19.823636,19.998947,19.575742,20.336878,19.695977,18.930628,18.930628,20.386136,20.122893,
418.9390,19.068678,19.43726,19.962572,19.731466,19.618103,19.693798,18.71875,18.71875,20.018534,20.106466,
